Date,Open,High,Low,Close,Adj Close,Volume
2018-01-22,138000.000000,139000.000000,135000.000000,135500.000000,135500.000000,815041
2018-01-23,135500.000000,138000.000000,135000.000000,136500.000000,136500.000000,965243
2018-01-24,136500.000000,138000.000000,134500.000000,135000.000000,135000.000000,760888
2018-01-25,135000.000000,137500.000000,134500.000000,135000.000000,135000.000000,649676
2018-01-26,136000.000000,141000.000000,135000.000000,140000.000000,140000.000000,1271640
2018-01-29,141000.000000,141500.000000,138500.000000,139000.000000,139000.000000,708612
2018-01-30,139000.000000,140500.000000,137500.000000,138500.000000,138500.000000,642199
2018-01-31,137500.000000,140000.000000,135000.000000,140000.000000,140000.000000,943362
2018-02-01,140000.000000,142000.000000,137500.000000,141500.000000,141500.000000,910082
2018-02-02,142000.000000,145000.000000,141500.000000,143500.000000,143500.000000,2099421
2018-02-05,139500.000000,140000.000000,134500.000000,134500.000000,134500.000000,1624472
2018-02-06,126500.000000,131000.000000,125000.000000,131000.000000,131000.000000,2291759
2018-02-07,134000.000000,134500.000000,126500.000000,126500.000000,126500.000000,1043100
2018-02-08,127000.000000,130000.000000,124500.000000,126500.000000,126500.000000,1044087
2018-02-09,121500.000000,124500.000000,117000.000000,118000.000000,118000.000000,2074927
2018-02-12,119000.000000,120000.000000,116500.000000,118000.000000,118000.000000,817489
2018-02-13,120000.000000,121000.000000,118500.000000,119000.000000,119000.000000,721603
2018-02-14,119500.000000,125000.000000,119000.000000,122500.000000,122500.000000,858572
2018-02-19,126000.000000,126000.000000,123000.000000,124000.000000,124000.000000,419351
2018-02-20,124000.000000,124500.000000,121500.000000,123000.000000,123000.000000,288935
2018-02-21,123500.000000,125500.000000,122000.000000,124500.000000,124500.000000,396493
2018-02-22,124500.000000,125000.000000,122000.000000,123500.000000,123500.000000,306321
2018-02-23,123500.000000,124000.000000,122000.000000,123500.000000,123500.000000,383787
2018-02-26,124500.000000,124500.000000,122500.000000,123000.000000,123000.000000,303789
2018-02-27,124000.000000,131000.000000,124000.000000,131000.000000,131000.000000,1272000
2018-02-28,130000.000000,132500.000000,127000.000000,128000.000000,128000.000000,857397
2018-03-02,126500.000000,128500.000000,124500.000000,127500.000000,127500.000000,474394
2018-03-05,127500.000000,128000.000000,123000.000000,123000.000000,123000.000000,417227
2018-03-06,126000.000000,134000.000000,126000.000000,132500.000000,132500.000000,1167882
2018-03-07,133000.000000,133500.000000,129000.000000,129500.000000,129500.000000,596902
2018-03-08,129500.000000,132000.000000,128500.000000,132000.000000,132000.000000,499256
2018-03-09,133000.000000,135500.000000,131000.000000,134000.000000,134000.000000,753680
2018-03-12,136000.000000,136500.000000,134500.000000,135000.000000,135000.000000,384411
2018-03-13,135500.000000,141000.000000,135000.000000,140500.000000,140500.000000,1320091
2018-03-14,139500.000000,140000.000000,136000.000000,137000.000000,137000.000000,703764
2018-03-15,137500.000000,141500.000000,137000.000000,141500.000000,141500.000000,950867
2018-03-16,141500.000000,143000.000000,139000.000000,141000.000000,141000.000000,1024727
2018-03-19,140000.000000,140500.000000,136000.000000,137500.000000,137500.000000,610095
2018-03-20,135500.000000,140000.000000,135000.000000,139000.000000,139000.000000,556447
2018-03-21,139000.000000,140000.000000,137500.000000,138000.000000,138000.000000,416757
2018-03-22,137000.000000,139000.000000,135500.000000,138000.000000,138000.000000,567619
2018-03-23,135000.000000,136000.000000,129500.000000,130500.000000,130500.000000,1233587
2018-03-26,129500.000000,132500.000000,126500.000000,131000.000000,131000.000000,962796
2018-03-27,134500.000000,134500.000000,131000.000000,131500.000000,131500.000000,451505
2018-03-28,129000.000000,130500.000000,128000.000000,129000.000000,129000.000000,462777
2018-03-29,129500.000000,131000.000000,126500.000000,129500.000000,129500.000000,437532
2018-03-30,131500.000000,133500.000000,130000.000000,132000.000000,132000.000000,447866
2018-04-02,132500.000000,133500.000000,128500.000000,129000.000000,129000.000000,454496
2018-04-03,127000.000000,130500.000000,126500.000000,128500.000000,128500.000000,483608
2018-04-04,129000.000000,129000.000000,123500.000000,123500.000000,123500.000000,730140
2018-04-05,125000.000000,126000.000000,124000.000000,124500.000000,124500.000000,299168
2018-04-06,125000.000000,125500.000000,122000.000000,122500.000000,122500.000000,376868
2018-04-09,121500.000000,122500.000000,120000.000000,121500.000000,121500.000000,547412
2018-04-10,121500.000000,123500.000000,121500.000000,122500.000000,122500.000000,322551
2018-04-11,124000.000000,125000.000000,121000.000000,121500.000000,121500.000000,379388
2018-04-12,122000.000000,122500.000000,120000.000000,120000.000000,120000.000000,367434
2018-04-13,120500.000000,122000.000000,119500.000000,120500.000000,120500.000000,368169
2018-04-16,120500.000000,120500.000000,116500.000000,117000.000000,117000.000000,815062
2018-04-17,117500.000000,120000.000000,117500.000000,118000.000000,118000.000000,399502
2018-04-18,120000.000000,121500.000000,118500.000000,119500.000000,119500.000000,495833
2018-04-19,119000.000000,119000.000000,116000.000000,116500.000000,116500.000000,648909
2018-04-20,116500.000000,117500.000000,113500.000000,115000.000000,115000.000000,650463
2018-04-23,114500.000000,114500.000000,111000.000000,111000.000000,111000.000000,669590
2018-04-24,112000.000000,115500.000000,111000.000000,115000.000000,115000.000000,473979
2018-04-25,115500.000000,119000.000000,113500.000000,115500.000000,115500.000000,607008
2018-04-26,116500.000000,117500.000000,113500.000000,114000.000000,114000.000000,366727
2018-04-27,115000.000000,115500.000000,112000.000000,113500.000000,113500.000000,402728
2018-04-30,113500.000000,114000.000000,110000.000000,111000.000000,111000.000000,618640
2018-05-02,110500.000000,114500.000000,109500.000000,114500.000000,114500.000000,526839
2018-05-03,114500.000000,116500.000000,113000.000000,113500.000000,113500.000000,350536
2018-05-04,113000.000000,113500.000000,111500.000000,112000.000000,112000.000000,251346
2018-05-08,112000.000000,113000.000000,110000.000000,112000.000000,112000.000000,331690
2018-05-09,111000.000000,113000.000000,110500.000000,113000.000000,113000.000000,332320
2018-05-10,113000.000000,118000.000000,111000.000000,117000.000000,117000.000000,840339
2018-05-11,117500.000000,118000.000000,116000.000000,117000.000000,117000.000000,367532
2018-05-14,114500.000000,116000.000000,111000.000000,113000.000000,113000.000000,657566
2018-05-15,112000.000000,115000.000000,112000.000000,114500.000000,114500.000000,320939
2018-05-16,114500.000000,117000.000000,113500.000000,117000.000000,117000.000000,466027
2018-05-17,117500.000000,118500.000000,116000.000000,116500.000000,116500.000000,338096
2018-05-18,118500.000000,119000.000000,112500.000000,113500.000000,113500.000000,819348
2018-05-21,113500.000000,114500.000000,112500.000000,113500.000000,113500.000000,176761
2018-05-23,113000.000000,114500.000000,112500.000000,112500.000000,112500.000000,285620
2018-05-24,112000.000000,114000.000000,112000.000000,113000.000000,113000.000000,208135
2018-05-25,112000.000000,114000.000000,111500.000000,112000.000000,112000.000000,257170
2018-05-28,111000.000000,111500.000000,108000.000000,108000.000000,108000.000000,679442
2018-05-29,108000.000000,110000.000000,107500.000000,108000.000000,108000.000000,318837
2018-05-30,107000.000000,107500.000000,103500.000000,104000.000000,104000.000000,600575
2018-05-31,104500.000000,106000.000000,103000.000000,103500.000000,103500.000000,470392
2018-06-01,103500.000000,107000.000000,103500.000000,104500.000000,104500.000000,452021
2018-06-04,104000.000000,108500.000000,104000.000000,108000.000000,108000.000000,432581
2018-06-05,108000.000000,112000.000000,107000.000000,111500.000000,111500.000000,477854
2018-06-07,112000.000000,113500.000000,109000.000000,111500.000000,111500.000000,355080
2018-06-08,112000.000000,113500.000000,110500.000000,113000.000000,113000.000000,393243
2018-06-11,113000.000000,114500.000000,112000.000000,114000.000000,114000.000000,251178
2018-06-12,114000.000000,114500.000000,113000.000000,114000.000000,114000.000000,180468
2018-06-14,114000.000000,114000.000000,112000.000000,112000.000000,112000.000000,250011
2018-06-15,112000.000000,112000.000000,109000.000000,109500.000000,109500.000000,336430
2018-06-18,109000.000000,110000.000000,106000.000000,107500.000000,107500.000000,405910
2018-06-19,107000.000000,110500.000000,105500.000000,106500.000000,106500.000000,250870
2018-06-20,106000.000000,109000.000000,106000.000000,108000.000000,108000.000000,290289
2018-06-21,107500.000000,109000.000000,106000.000000,107000.000000,107000.000000,172840
2018-06-22,106500.000000,114500.000000,106500.000000,114000.000000,114000.000000,651617
2018-06-25,114000.000000,114500.000000,112000.000000,114000.000000,114000.000000,345973
2018-06-26,112500.000000,113000.000000,111000.000000,112000.000000,112000.000000,250298
